,rho,beta0,beta1,beta2,phi,sigma,Ifit,IUQ,nRuns,region
8-3,0.6917388445920525,280.8684938198262,0.5859587012467742,0.33571634478237256,0.03660406175789304,0.5360618381146282,1.0418888010692817,0.9519710583417013,8,WNA
8-4,0.009999999999999995,284.39993377618816,0.3241480066303441,0.5878186595118656,0.09178639798266662,0.618331798905345,1.0559349330556111,0.9873230737393167,8,CNA
8-5,0.623521759839848,285.59039415807956,0.2512465411819233,0.5527781557076492,-0.007225380047548891,0.3474440593254116,1.059666493447762,0.9881626054006597,8,ENA
8-6,0.900052797071723,293.157747819902,0.5775467721368985,0.1665612209780075,0.19033251397576506,0.30392434621863756,1.0729919952060334,1.0163358824596775,8,NCA
8-7,0.890350169423933,298.51148624013604,0.2806418777180911,0.32766872657988816,0.23605031992921696,0.2678925151199267,1.067650436501468,1.0560783364885082,8,SCA
8-8,0.009999999999999995,299.081340340366,0.17943547085704892,0.2954553933923436,0.3286844318288031,0.20388470849967255,1.0759787604616726,1.1158270046610301,8,CAR
8-9,0.8611639340019744,293.63150591302326,0.23559757622600902,0.4931470528141686,0.1845454427485259,0.40204832652606376,1.0528396757827687,1.1192117630733014,8,NWS
8-10,0.009999999999999995,296.44450103562735,0.3415671815520957,0.45741978400505895,0.24136060562251968,0.38246430050642855,1.08044796103543,1.1655099541340546,8,NSA
8-11,0.9073877202856873,297.2346852802538,0.4072975683038703,0.3103204297697967,0.2396944773778511,0.39196521105084287,1.0578295606322181,1.0948619728694822,8,NES
8-12,0.010000009921090834,294.4659527071143,0.9423993689032679,-0.05232667705395036,0.206219754126593,0.4854325991895209,1.0614376834177126,1.0986606379325723,8,SAM
8-13,0.9390983291646833,287.20068999796644,0.027094078707257878,0.6802038091472717,0.28156872404680955,0.31726179784184144,1.0447094467638305,1.0206290547112116,8,SWS
8-14,0.9434103366135089,291.57610591389226,-0.06458495316972099,0.8286082103674114,0.20793373660674297,0.26631750558074857,1.0354526767051278,0.9276729066832837,8,SES
8-15,0.9692330916873082,281.60539024653633,-0.01562966640455185,0.6668520156468576,0.08260586617119879,0.2351512382829845,1.0430988325569608,1.0245066080669953,8,SSA
8-16,0.15576700447786265,278.9414270488489,0.1723273320899197,0.47298401214030716,0.2658284625529466,0.42831206623057944,1.0762560964258698,0.9949858376653393,8,NEU
8-17,0.009999999999999995,281.4506458632978,0.27448212684787665,0.5883788211229011,0.1658125242795946,0.5724205265242777,1.0555775227552397,0.9788052596978465,8,WCE
8-18,0.009999999999999995,277.1502699866619,1.8299639638733738,-0.7971612470140019,0.1366556261315444,0.9024510418685434,1.048772487787166,1.0164491834311558,8,EEU
8-19,0.39032528095144475,289.6956827416606,0.052060096881487675,0.7474605343065384,0.15730804103700954,0.2714379476577408,1.0654161143771963,1.0008799500147298,8,MED
8-20,0.9021601194935325,296.6731079379382,0.41706829017204944,0.4846674320452184,0.1650600372006858,0.3780118046807033,1.053940408374025,1.0469948323962681,8,SAH
8-21,0.009999999999999995,297.91846858136773,0.2384947438188733,0.4317531642605635,0.22207685196273122,0.2929565139202434,1.0606906861543142,1.0670405458193817,8,WAF
8-22,0.9126886693377897,295.31913360253105,0.17900230259001798,0.5503586151667773,0.193111411832374,0.23911527591364776,1.0530783248162565,0.99956879284944,8,CAF
8-23,0.7436795557975764,297.19156685856865,0.01847072023778382,0.6200890149159342,0.2895000116291799,0.31907403568207604,1.0395592915891965,1.0348816750206462,8,NEAF
8-24,0.009999999999999995,295.4157363057425,0.4755706114354679,0.14926385417367516,0.202355957079877,0.3809757878157645,1.0625829840579804,1.115019737983865,8,SEAF
8-25,0.874897911850492,292.908983956689,0.07195169365643764,0.6448692928783146,0.234806314818166,0.25727815385001346,1.0485594460058212,1.0484237150157798,8,WSAF
8-26,0.21266228056717448,293.74779186741216,0.09217772997303178,0.6759573247207142,0.25152493391739883,0.3298218275283556,1.0732901426558585,1.0182104741158415,8,ESAF
8-27,0.009999999999999995,296.83606772235305,0.013357325815306423,0.5506814118507394,0.13636397575592463,0.2768596118868397,1.066622967733189,1.1164836441381059,8,MDG
8-28,0.8569657106000677,257.4600886989098,0.6126460737504587,0.9968177992990738,0.1684138106894376,0.8455305135155552,1.0708385816474408,1.0182899032468409,8,RAR
8-29,0.009999999999999995,272.4291597527772,1.6102955108098032,-0.39662444827161086,0.08023703135585476,1.0135899915294273,1.0402239202660404,0.9729338370175752,8,WSB
8-30,0.009999999999999995,266.3182938691584,1.063790448109286,0.04102301868869879,0.05747872580548748,0.8065654269838112,1.0435527049533673,1.0575950183565803,8,ESB
8-31,0.009999999999999995,266.7692152206602,1.4276205795459291,-0.18343075429998645,0.24404644189387162,0.5650484431571848,1.073717215105826,1.043278694715051,8,RFE
8-32,0.009999999999999995,287.49471977870735,0.5379431615291324,0.3849218593661581,-0.009097609911701405,0.4366536928818104,1.0467203289080316,0.9813983473194757,8,WCA
8-33,0.009999999999999995,277.81826289792616,0.3420878826471218,0.6814721599998499,0.11796802360795519,0.5333108742933858,1.0493719671118638,0.9933557080614559,8,ECA
8-34,0.5345260459788912,268.221088245636,-0.09789817378263307,1.105453073243266,0.15855167046193674,0.5358169599258465,1.053569051820283,1.0315244815948694,8,TIB
8-35,0.7447786191543059,286.78458298520513,0.2772342934822752,0.511641322759765,0.22320320305785593,0.27625252329907485,1.0564665129486885,0.9949937402515039,8,EAS
8-36,0.9009416950839644,297.6558550402383,0.40447550325435067,0.4805470911811166,0.21528977384906153,0.5253156299326107,1.0486151536654105,1.0626070391981894,8,ARP
8-37,0.719787580136898,296.3905264873437,-0.04678475602194455,0.7906295293769282,0.21613291671009843,0.3333610258266839,1.0512129220479658,1.0219427770302307,8,SAS
8-38,0.8828698411699132,299.1230086236902,0.17269678372327268,0.38424517511574635,0.02357147699025214,0.27732681768115636,1.0509716173101065,1.0409881330835213,8,SEA
8-39,0.7532864067818407,298.99236360583416,0.20122371863884697,0.37121883539176437,0.012120272361669059,0.304140252758908,1.0480303178428914,1.0143545763500497,8,NAU
8-40,0.009999999999999995,295.628436491502,0.2947172567407677,0.4931444427985039,0.2259949394268023,0.7033879532282771,1.0380444705620353,1.0255335479882324,8,CAU
8-41,0.8512972211529723,292.30052652178244,-0.012488304542688261,0.7401161529041567,0.25330792824212484,0.5577098032281236,1.0438954024774203,1.0085937046491358,8,EAU
8-42,0.9723553977132587,287.8899490766916,0.09555310696151492,0.7073261718621029,0.287199913314054,0.23341606587158986,1.045163044119087,1.0560115201194995,8,SAU
8-43,0.9772798044418458,287.47079627933834,0.19302209550015248,0.5717852535787084,0.3449338153836403,0.20288744030318875,1.0380942673042346,0.9775203084101308,8,NZ
8-44,0.9812555365800435,237.4942496721814,0.11670389299651904,1.3131797402040433,0.155475662634334,0.37391268512057996,1.0387979122782653,0.9579893219743877,8,EAN
8-45,0.9446793080609618,250.48377902873835,-0.44874724284962725,1.5626293025277394,0.2867572037381355,0.6656317262624156,1.03106606862083,1.0186990454162381,8,WAN
8-46,0.5918528229506205,254.39000103724453,1.3477201083653783,0.9089276161905617,0.43222806764504756,0.7495589290880708,1.1445459259444086,1.0237960033476718,8,ARO
8-47,0.8323079641524984,292.8784301181206,0.30231305138588405,0.28328861556614815,0.3322070182160823,0.14339274572398794,1.1016529009561113,1.0080310046480514,8,NPO
8-48,0.7584709241974732,299.22458566315896,0.2167845847535806,0.31398217389002536,0.22751497427186673,0.5573545445893595,1.0501923875694958,1.042209376639502,8,EPO
8-49,0.9514819134514029,291.9723549820717,-0.014313808540791749,0.5080404766254363,0.47433094743288357,0.06838497132989255,1.053794520196552,0.9992709151654561,8,SPO
8-50,0.009999999999999995,292.645865768181,0.3302057221455592,0.0730536665004828,0.3977669035924159,0.15654241148784315,1.0916650340899545,1.0936359039377828,8,NAO
8-51,0.009999999999999995,298.72797219868033,0.1443210743002124,0.3550556492479159,0.19136529343752973,0.1973388014679263,1.0737796843767125,1.0198427026506172,8,EAO
8-52,0.9538667168356099,291.68204588316604,0.029380810507249604,0.48508094024506193,0.24890440601761468,0.10661902975933749,1.0321062472188804,0.9336761794587555,8,SAO
8-53,0.009999999999999995,298.86344897042034,0.22864382327254884,0.3276331673403742,0.14724402831189567,0.3066425530871891,1.0607036462682875,1.004187244843639,8,ARS
8-54,0.8853652675498324,299.9141568969716,0.09531585326043955,0.44562947268233816,0.1503052655730955,0.2473078694289982,1.0519191460143027,1.0116774920594769,8,BOB
8-55,0.009999999999999995,300.06067217381224,0.04716713413134599,0.4772432724440868,0.07899189676145862,0.26241078747304886,1.053900933613618,1.1064670553563758,8,EIO
8-56,0.9617553012199317,294.9519780662403,0.17852209067873415,0.3643487273300484,0.3005615000066805,0.1501990482596857,1.0519026686760813,1.004326300441602,8,SIO
8-57,0.969115215007722,276.4865999971828,0.05304787222291007,0.6419506257360964,0.49715465768290357,0.08491621548146343,1.027159422960701,0.926910150418098,8,SOO
9-0,0.99,257.56861492093714,1.3941839308303152,-0.7114509608100043,0.3849788306337311,0.606855994324701,1.067413133221261,1.0224849642597955,9,GIC
9-1,0.009999999999999995,266.5063606298519,0.3883683313291119,0.8737849112151526,0.21675034958361183,0.7895289618426403,1.0502026816993935,0.9512694955495485,9,NWN
9-2,0.8612653462818022,262.4576752056899,0.24705358230873017,1.1983114791558667,0.13705746551092526,0.6273438773491326,1.0548379716307372,0.9956432321671893,9,NEN
9-3,0.6747275989436036,280.90088037555506,0.5589888613269073,0.3558071809205342,0.03907865143109709,0.5320882629639249,1.0419744971225167,0.943572300029452,9,WNA
9-4,0.8731077061026412,284.40520123633337,0.7291268137083543,0.19371457870842634,0.06650534803022669,0.6150586559551808,1.0538963575098332,0.975966338038189,9,CNA
9-5,0.7085781275885095,285.6254303126934,0.24838829068089582,0.5552631752900106,0.0009998192854904168,0.34537569751558683,1.063415405000039,0.9814130541902697,9,ENA
9-6,0.9004908039710594,293.15243500554936,0.5650144696654643,0.1830057664375089,0.20323636852920196,0.30242302888411915,1.0717466332856487,1.0528577935101626,9,NCA
9-7,0.8432904420473953,298.49599198513454,0.2161862069319296,0.3891017948940305,0.24093616829391992,0.26569843394991716,1.0643058211721703,1.0651154660937254,9,SCA
9-8,0.009999999999999995,299.0798916250343,0.2061004124225411,0.2686512984618309,0.32834596903226504,0.2027648889245051,1.0759923852866797,1.0464061844215562,9,CAR
9-9,0.823097761392236,293.62073823947435,0.16382319503896015,0.5619500600345173,0.19212237291287462,0.3975840360810853,1.0522491669627638,1.0634075492198662,9,NWS
9-10,0.886411344842066,296.6330889817228,0.11569050105849632,0.7190233628228739,0.21836331571683212,0.37410737504104424,1.0506943366662738,1.1087671962206342,9,NSA
9-11,0.9006218305395857,297.22919933750694,0.4087656338613323,0.3079450800358842,0.24741446361927663,0.3892050349412867,1.0564298139273414,1.037193609836134,9,NES
9-12,0.009999999999999995,294.4620910357228,1.036057558494189,-0.14645891802233135,0.22189066741879532,0.4804996597311618,1.0621905983503401,1.0629160779878526,9,SAM
9-13,0.9242104656521065,287.1931172383577,-0.04901463695472327,0.7435274289351871,0.28085714145411994,0.3161974641801666,1.043509810439703,0.9938683139185374,9,SWS
9-14,0.9422779015909319,291.5465805143748,-0.022256683232153223,0.7806599024892037,0.20053852070949904,0.2718441057775222,1.0359699480714468,0.970769944800221,9,SES
9-15,0.9705051193595582,281.6265324333525,-0.013707969523461623,0.6695104698994508,0.07000552979131719,0.2328667927959059,1.0422050731478576,1.0271908396496452,9,SSA
9-16,0.1572971263922171,279.0033897276291,0.20103929128708373,0.43289632661835,0.24227020758734968,0.43363710169506264,1.0781139581398473,0.9637886645475444,9,NEU
9-17,0.009999999999999995,281.50421033169187,0.38083583901425655,0.47164244848677495,0.1449991398697919,0.576989482033481,1.057375500662692,1.0359899310225484,9,WCE
9-18,0.009999999999999995,277.2411039556406,1.8022828322654156,-0.786962779412802,0.11857275189708588,0.9029567182360438,1.0499552408377535,1.0083726429077249,9,EEU
9-19,0.6020245263748325,289.73227726098264,0.1372442914517039,0.6604274943267627,0.14578764651220708,0.27459323035972194,1.0635884467950014,1.072961840268422,9,MED
